# u2-l1 — Trig Identities (1): narration script (one line per subtitle beat)
# beat  start(s)  Arabic
#
 0     3.60  كل وحدة المتطابقات تبدأ من علاقة واحدة.
 1    11.65  جيب الزاوية تربيع زائد جيب التمام تربيع يساوي واحد.
 2    18.70  ومنها تشتق متطابقتين أخريين بالقسمة — احفظ الثلاث معاً.
 3    28.45  ليش تساوي واحد؟ دائرة الوحدة تعطيك البرهان.
 4    37.30  الإحداثي الأفقي هو جيب التمام، والرأسي هو الجيب.
 5    47.15  ونصف القطر واحد، فبنظرية فيثاغورس: إكس² زائد واي² يساوي واحد.
 6    55.00  عوّض إكس وواي، تصل إلى المتطابقة الأساسية تماماً.
 7    63.25  اقسم طرفي المتطابقة على جيب التمام تربيع.
 8    71.10  فينتج: ظا² زائد واحد يساوي قا².
 9    77.34  وبالقسمة على الجيب تربيع تحصل على متطابقة ظتا وقتا.
10    87.59  جيب الضعف يساوي اثنين في الجيب في جيب التمام.
11    97.64  ولجيب تمام الضعف ثلاث صور — اختر الأنسب للسؤال.
12   106.89  مُعطى: الجيب يساوي ثلاثة على خمسة، والزاوية في الربع الأول.
13   114.74  من المتطابقة الأساسية: جيب التمام تربيع يساوي ستة عشر على خمسة وعشرين.
14   122.59  والزاوية في الربع الأول، فجيب التمام موجب: أربعة على خمسة.
15   130.74  ومنها الظل وجيب الضعف مباشرة — أربعة وعشرون على خمسة وعشرين.
16   139.99  بسّط هذا المقدار باستخدام متطابقات الضعف.
17   147.84  البسط اثنان جيب تربيع، والمقام اثنان جيب في جيب تمام.
18   155.69  يختصر ليعطي الظل — خطوة تتكرر كثيراً في التوجيهي.
19   163.94  الخلاصة: كل شيء يرجع إلى متطابقة واحدة.
20   172.81  أتقن هذه، وبقية الوحدة تصبح تعويضاً بسيطاً.
